N,W_mld,W_sld,K_mld,K_sld,damping,starts,converged_runs,all_converged,max_iterations,max_residual,solution_spread_inf
3,4.0,4.0,6,6,0.4,25,25,True,112,1.9205748102990583e-12,7.392753076373992e-12
3,4.0,8.0,1,1,0.4,25,25,True,61,1.599720356182388e-12,3.610667320685934e-12
3,4.0,8.0,1,3,0.4,25,25,True,69,1.659339332604759e-12,4.097833183891453e-12
3,4.0,8.0,1,6,0.4,25,25,True,75,1.7491563752969341e-12,4.711231404996852e-12
3,4.0,8.0,3,1,0.4,25,25,True,68,1.6672219160795976e-12,4.177103107849689e-12
3,4.0,8.0,3,3,0.4,25,25,True,85,1.7942314300967155e-12,5.389688695345285e-12
3,4.0,8.0,3,6,0.4,25,25,True,98,1.9068080447937064e-12,6.551981179825361e-12
3,4.0,8.0,6,1,0.4,25,25,True,75,1.7423840148467207e-12,4.675482223603922e-12
3,4.0,8.0,6,3,0.4,25,25,True,98,1.8870460749553786e-12,6.511902128636393e-12
3,4.0,8.0,6,6,0.4,25,25,True,113,1.982081165863292e-12,7.718270467194088e-12
3,4.0,16.0,1,1,0.4,25,25,True,62,1.6241452627241415e-12,3.729794251228213e-12
3,4.0,16.0,1,3,0.4,25,25,True,70,1.7004175845158898e-12,4.115152663075605e-12
3,4.0,16.0,1,6,0.4,25,25,True,75,1.752376022068347e-12,4.6874726322698734e-12
3,4.0,16.0,3,1,0.4,25,25,True,70,1.7025270082626776e-12,4.255040764178375e-12
3,4.0,16.0,3,3,0.4,25,25,True,80,1.8008927682444664e-12,5.094369370794993e-12
3,4.0,16.0,3,6,0.4,25,25,True,88,1.8455237338343977e-12,5.444089623551918e-12
3,4.0,16.0,6,1,0.4,25,25,True,73,1.7135182162064666e-12,4.454436819401053e-12
3,4.0,16.0,6,3,0.4,25,25,True,83,1.801003790546929e-12,5.112021916886533e-12
3,4.0,16.0,6,6,0.4,25,25,True,91,1.866062859789963e-12,5.83344483828796e-12
3,8.0,4.0,1,1,0.4,25,25,True,56,1.4755419108780643e-12,2.988831404593384e-12
3,8.0,4.0,1,3,0.4,25,25,True,59,1.5486500970496309e-12,3.2434055441399323e-12
3,8.0,4.0,1,6,0.4,25,25,True,61,1.5092371796754378e-12,3.2959190932047022e-12
3,8.0,4.0,3,1,0.4,25,25,True,58,1.5278889264891404e-12,3.2751579226442118e-12
3,8.0,4.0,3,3,0.4,25,25,True,64,1.6301959782083486e-12,3.720634911275056e-12
3,8.0,4.0,3,6,0.4,25,25,True,69,1.6785461909307742e-12,4.084510507595951e-12
3,8.0,4.0,6,1,0.4,25,25,True,58,1.5576429035490946e-12,3.314570840018405e-12
3,8.0,4.0,6,3,0.4,25,25,True,68,1.6708301409096293e-12,3.940625603604531e-12
3,8.0,4.0,6,6,0.4,25,25,True,74,1.7119639039719914e-12,4.469979941745805e-12
3,8.0,8.0,1,1,0.4,25,25,True,58,1.563749130184533e-12,3.3767433293974136e-12
3,8.0,8.0,1,3,0.4,25,25,True,61,1.5744072712209345e-12,3.465783215972351e-12
3,8.0,8.0,1,6,0.4,25,25,True,63,1.609823385706477e-12,3.559597061553177e-12
3,8.0,8.0,3,1,0.4,25,25,True,62,1.6150414339222152e-12,3.6843861295210445e-12
3,8.0,8.0,3,3,0.4,25,25,True,69,1.6917578449238135e-12,4.232836303685872e-12
